Feature,Importance
GCS_E,0.10429372608119682
GCS_V,0.08838580382967454
FiO2,0.07495465600514453
SBP,0.061414010872253455
RR,0.05937795394620274
DBP,0.04973448553168809
GCS_M,0.03975289935434905
MBP,0.03921079829943913
Temp,0.028149647748942304
SpO2,0.02504422629536543
S6,0.0153206807173627
S5,0.01526480905620901
S2,0.011307856934496265
S3,0.009668062336505755
S11,0.007546517753634141
S1,0.007424899981025785
S8,0.006898380274884605
S10,0.00574987950821373
Gender,0.005030253355681866
S9,0.005014283389198002
S7,0.0049505575515752746
Age,0.004750857855500804
Height,0.003326196497766342
Weight,0.0032118292986831587
S4,0.002351278134142595
