Procedure,Count,Percentage,Unique_Patients,Patient_Percentage
Blood Cultured,3083,9.131568035069012,1483,17.91062801932367
Extubation,3054,9.045672649724542,2717,32.81400966183575
Transthoracic Echo,2555,7.567679639831764,2078,25.09661835748792
Family updated by RN,2500,7.404774598661216,1184,14.299516908212562
CT scan,1697,5.026360997571234,1123,13.56280193236715
Urine Culture,1596,4.727208103785321,1185,14.31159420289855
Ultrasound,1405,4.161483324447604,1042,12.584541062801932
Family updated by MD,1402,4.15259759492921,892,10.772946859903382
Nasal Swab,1318,3.9037971684141937,1238,14.951690821256038
Intubation,1131,3.349920028434335,937,11.316425120772946
Sputum Culture,951,2.816776257330727,690,8.333333333333332
Dialysis - CRRT,948,2.8078905278123334,389,4.6980676328502415
Hemodialysis,930,2.754576150701973,416,5.024154589371981
Chest Tube Removed,920,2.7249570523073277,844,10.193236714975844
IABP line,736,2.1799656418458624,652,7.8743961352657
OR Sent,561,1.6616314199395772,436,5.265700483091788
Cardioversion/Defibrillation,545,1.6142408625081452,194,2.3429951690821254
Bronchoscopy,528,1.5638883952372489,353,4.263285024154589
Line Placement at Bedside,462,1.368402345832593,332,4.009661835748792
Magnetic Resonance Imaging,401,1.187725845625259,353,4.263285024154589
Single Lumen,384,1.137373378354363,337,4.070048309178744
Cardiac Cath,375,1.1107161897991826,348,4.202898550724638
MAC,348,1.0307446241336413,331,3.997584541062802
CCO PAC,327,0.9685445175048872,310,3.7439613526570046
Stool Culture,321,0.9507730584681002,267,3.22463768115942
Family meeting held,310,0.9181920502339909,242,2.922705314009662
Temporary Pacemaker Wires Discontinued,294,0.870801492802559,294,3.5507246376811596
Trans Esophageal Echo,289,0.8559919436052367,250,3.0193236714975846
EEG,263,0.77898228777916,215,2.5966183574879227
Pan Culture,256,0.7582489189029086,225,2.717391304347826
Endoscopy,191,0.5657247793377169,167,2.0169082125603865
Interventional Radiology,188,0.5568390498193235,173,2.0893719806763285
Cath Lab (Sent),180,0.5331437711036076,173,2.0893719806763285
Peritoneal Dialysis,171,0.5064865825484272,33,0.39855072463768115
Cardiac Arrest,166,0.4916770333511048,143,1.7270531400966183
Chest Pain,148,0.438362656240744,110,1.328502415458937
EEG (Continuous),146,0.43243883656181503,137,1.6545893719806761
Family met with Social Worker,138,0.4087435578460991,121,1.461352657004831
Chest Tube Placed,109,0.32284817250162906,85,1.0265700483091789
NEOB notified,107,0.3169243528227001,98,1.1835748792270533
Impella Line,105,0.3110005331437711,96,1.1594202898550725
Indwelling Port,103,0.3050767134648421,76,0.9178743961352657
Intraosseous Device,101,0.2991528937859132,93,1.1231884057971016
AVA,99,0.2932290741069842,97,1.1714975845410627
BAL Fluid Culture,95,0.28138143474912625,86,1.038647342995169
Unplanned Extubation (patient-initiated),79,0.23399087731769447,75,0.9057971014492754
Speech and Swallow Evaluation,78,0.23102896747822996,73,0.8816425120772946
Epoprostenol (Inhaled),78,0.23102896747822996,69,0.8333333333333334
Nursing Water Swallow Screening,73,0.21621941828090752,66,0.7971014492753623
Trauma line,69,0.20437177892304956,67,0.8091787439613526
Fluoroscopy,67,0.19844795924412062,60,0.7246376811594203
Travel to Radiology,63,0.18660031988626266,58,0.7004830917874396
Thoracentesis,61,0.1806765002073337,54,0.6521739130434783
Lumbar Puncture,60,0.17771459036786919,51,0.6159420289855073
CRRT Filter Change,57,0.16882886084947574,47,0.5676328502415459
Trigger Initiated,54,0.15994313133108226,49,0.5917874396135266
Portable CT scan,52,0.15401931165215332,44,0.5314009661835749
Percutaneous Tracheostomy,52,0.15401931165215332,51,0.6159420289855073
Tunneled (Hickman) Line,47,0.13920976245483088,40,0.4830917874396135
Indwelling Port (PortaCath),47,0.13920976245483088,40,0.4830917874396135
Nuclear Medicine,46,0.1362478526153664,42,0.5072463768115941
PEG Insertion,46,0.1362478526153664,45,0.5434782608695652
Angiography,46,0.1362478526153664,41,0.4951690821256039
Wound Culture,44,0.1303240329364374,40,0.4830917874396135
Paracentesis,36,0.10662875422072153,25,0.30193236714975846
Percutaneous Drain Insertion,35,0.10366684438125703,34,0.41062801932367154
Unplanned Line/Catheter Removal (Patient Initiated),34,0.10070493454179255,32,0.3864734299516908
Colonoscopy,34,0.10070493454179255,32,0.3864734299516908
ERCP (Travel to),33,0.09774302470232805,29,0.3502415458937198
Small Bore Nasal Enteral Tube Placement,33,0.09774302470232805,29,0.3502415458937198
Plasma Pheresis.,30,0.08885729518393459,10,0.12077294685990338
Drain Removed,30,0.08885729518393459,30,0.36231884057971014
Tunneled Access Line,28,0.08293347550500563,24,0.2898550724637681
ECMO Outflow Line,23,0.0681239263076832,23,0.2777777777777778
ECMO Inflow Line,23,0.0681239263076832,23,0.2777777777777778
Temporary Pacemaker Wires Inserted,22,0.0651620164682187,21,0.25362318840579706
Tandem Heart Inflow Line,20,0.05923819678928974,19,0.22946859903381642
Esophogeal Balloon,20,0.05923819678928974,19,0.22946859903381642
Transfer Intercampus by Ambulance,20,0.05923819678928974,19,0.22946859903381642
Family notified of transfer,19,0.05627628694982524,19,0.22946859903381642
Chest Opened,19,0.05627628694982524,14,0.16908212560386474
Tandem Heart Outflow Line,18,0.053314377110360765,18,0.21739130434782608
Venogram,17,0.050352467270896276,17,0.20531400966183577
Family met with Case Manager,15,0.044428647591967296,12,0.14492753623188406
Pheresis Catheter,15,0.044428647591967296,14,0.16908212560386474
Surgical Procedure at Bedside,14,0.041466737752502814,14,0.16908212560386474
Respiratory Arrest,14,0.041466737752502814,14,0.16908212560386474
Radiation Therapy,14,0.041466737752502814,7,0.08454106280193237
CSF Culture,10,0.02961909839464487,7,0.08454106280193237
RIC,8,0.023695278715715893,8,0.0966183574879227
Transferred to Floor,8,0.023695278715715893,8,0.0966183574879227
Presep Catheter,7,0.020733368876251407,7,0.08454106280193237
ICP Catheter,7,0.020733368876251407,6,0.07246376811594203
VAC Change,7,0.020733368876251407,7,0.08454106280193237
Unplanned Extubation (non-patient initiated),7,0.020733368876251407,7,0.08454106280193237
EVD #1,7,0.020733368876251407,7,0.08454106280193237
Unplanned Line/Catheter Removal (Non-Patient initated),6,0.01777145903678692,6,0.07246376811594203
Centrimag Outflow Line,5,0.014809549197322434,4,0.04830917874396135
Centrimag Inflow Line,5,0.014809549197322434,4,0.04830917874396135
Transcranial Doppler,4,0.011847639357857946,2,0.024154589371980676
Rectal Swab,4,0.011847639357857946,4,0.04830917874396135
Intraventricular Drain Inserted,4,0.011847639357857946,4,0.04830917874396135
Fall,4,0.011847639357857946,4,0.04830917874396135
Cervical Spine,4,0.011847639357857946,4,0.04830917874396135
"Family meeting attempted, unable",4,0.011847639357857946,1,0.012077294685990338
Pelvis,4,0.011847639357857946,4,0.04830917874396135
Brain Death,4,0.011847639357857946,4,0.04830917874396135
Blakemore / MinnesotaTube Inserted,3,0.00888572951839346,3,0.036231884057971016
Open Tracheostomy,3,0.00888572951839346,3,0.036231884057971016
EMG,3,0.00888572951839346,3,0.036231884057971016
Lumbar Drain,3,0.00888572951839346,3,0.036231884057971016
Isoflurane (Inhaled),3,0.00888572951839346,1,0.012077294685990338
C-Spine Clearance,3,0.00888572951839346,3,0.036231884057971016
Pericardiocentesis,3,0.00888572951839346,2,0.024154589371980676
EVD #2,2,0.005923819678928973,1,0.012077294685990338
Subdural Drain,1,0.0029619098394644866,1,0.012077294685990338
EKOS,1,0.0029619098394644866,1,0.012077294685990338
TLS Clearance,1,0.0029619098394644866,1,0.012077294685990338
ERCP (Done in unit),1,0.0029619098394644866,1,0.012077294685990338
Epidural Placement,1,0.0029619098394644866,1,0.012077294685990338
ICP Bolt Inserted,1,0.0029619098394644866,1,0.012077294685990338
Pneumothorax,1,0.0029619098394644866,1,0.012077294685990338
Avalon/Protek Duo/Crescent,1,0.0029619098394644866,1,0.012077294685990338
