Procedure,Count,Percentage,Unique_Patients,Patient_Percentage
20 Gauge,13185,12.341807698067994,5966,70.30403016733443
Chest X-Ray,9225,8.635053167590236,2966,34.951685128446854
CT scan,7899,7.3938520293545,3567,42.03393825123733
18 Gauge,7485,7.00632769207728,4479,52.78105114305915
Arterial Line,4734,4.431256552343867,3305,38.94650011784115
EKG,4242,3.970720383405721,2419,28.50577421635635
Invasive Ventilation,4097,3.834993260446308,3281,38.66368135753005
Blood Cultured,3773,3.5317133443163096,1668,19.655903841621495
22 Gauge,3316,3.1039388947131945,2172,25.59509780815461
Family updated by RN,2954,2.7650891118765912,1334,15.72000942729201
Portable Chest X-Ray,2823,2.6424666766511904,884,10.417157671458874
Extubation,2766,2.5891118765912835,2437,28.717888286589677
Magnetic Resonance Imaging,2760,2.5834955818481355,2439,28.741456516615603
Foley Catheter,2544,2.3813089710948034,1864,21.965590384162148
Multi Lumen,2391,2.2380934551445257,1866,21.989158614188074
Urine Culture,2202,2.0611801707353603,1460,17.204807918925287
Transthoracic Echo,1974,1.8477609704957316,1683,19.832665566815933
Family updated by MD,1920,1.7972143178073985,1140,13.43389111477728
Ultrasound,1744,1.632469672008387,1250,14.730143766203158
PICC Line,1693,1.584731166691628,1346,15.861418807447562
OR Received,1443,1.3507188857271228,1165,13.728493990101342
Intubation,1274,1.1925265837951176,1029,12.12585434833844
Sputum Culture,1212,1.1344915381159204,841,9.910440725901484
Nasal Swab,1150,1.076456492436723,1083,12.762196559038417
16 Gauge,1131,1.0586715590834206,928,10.935658732029225
OR Sent,1008,0.9435375168488842,743,8.755597454631157
Bronchoscopy,904,0.84618840796765,557,6.563752062220127
X-ray,844,0.7900254605361691,643,7.577185953334904
EEG,740,0.6926763516549348,607,7.152957812868253
Family meeting held,684,0.6402576007188857,535,6.304501531934951
Pan Culture,636,0.5953272427737009,469,5.526749941079425
Dialysis - CRRT,532,0.4979781338924667,178,2.0975724723073297
Hemodialysis,494,0.4624082671858619,175,2.062220127268442
ICP Catheter,483,0.45211172682342365,373,4.395474899835023
Transcranial Doppler,447,0.418413958364535,224,2.6396417629036057
Angiography,430,0.4025011232589486,343,4.041951449446147
Cordis/Introducer,423,0.3959487793919425,382,4.501531934951685
Dialysis Catheter,419,0.3922045828965104,271,3.193495168512845
Line Placement at Bedside,392,0.3669312565523439,286,3.3702568937072823
Stool Culture,384,0.3594428635614797,296,3.488098043836908
EEG (Continuous),376,0.3519544705706155,321,3.782700919160971
PA Catheter,370,0.3463381758274674,345,4.065519679472072
Interventional Radiology,342,0.32012880035944286,292,3.440961583785058
NEOB notified,322,0.30140781788228244,278,3.2759839736035823
Trans Esophageal Echo,318,0.29766362138685043,283,3.334904548668395
Chest Tube Removed,313,0.2929833757675603,278,3.2759839736035823
Family met with Social Worker,279,0.26115770555638756,245,2.887108178175819
Portable CT scan,253,0.23682042833607905,189,2.2271977374499174
Sheath (Venous),252,0.23588437921222105,208,2.4510959226962057
Abdominal X-Ray,251,0.23494833008836305,214,2.5218006127739807
Nursing Water Swallow Screening,238,0.2227796914782088,230,2.710346452981381
CSF Culture,230,0.2152912984873446,169,1.991515437190667
BAL Fluid Culture,223,0.20873895462033848,195,2.297902427527693
EVD #1,204,0.1909540212670361,189,2.2271977374499174
PEG Insertion,191,0.17878538265688185,182,2.1447089323591797
Non-invasive Ventilation,187,0.17504118616144976,151,1.7794013669573414
Speech and Swallow Evaluation,185,0.1731690879137337,166,1.9561630921517792
CCO PAC,180,0.1684888422944436,175,2.062220127268442
Percutaneous Tracheostomy,162,0.15163995806499925,155,1.8265378270091917
Cardioversion/Defibrillation,158,0.14789576156956716,62,0.7306151308036767
Intraventricular Drain Inserted,155,0.1450876141979931,137,1.6144237567758661
Lumbar Puncture,153,0.14321551595027707,134,1.5790714117369784
Midline,145,0.13572712295941292,129,1.5201508366721659
Temporary Pacemaker Wires Discontinued,135,0.1263666317208327,135,1.590855526749941
Peritoneal Dialysis,123,0.11513404223453647,16,0.18854584020740042
Travel to Radiology,98,0.09173281413808597,84,0.9898656610888522
Fluoroscopy,96,0.08986071589036992,89,1.0487862361536648
Endoscopy,94,0.08798861764265388,84,0.9898656610888522
Chest Tube Placed,92,0.08611651939493785,75,0.8838086259721896
MAC,91,0.08518047027107982,81,0.9545133160499647
Unplanned Extubation (patient-initiated),79,0.07394788078478358,74,0.872024510959227
Cardiac Arrest,77,0.07207578253706755,69,0.8131039358944143
Cardiac Cath,71,0.06645948779391943,70,0.8248880509073769
Indwelling Port,71,0.06645948779391943,52,0.6127739806740514
AVA,70,0.0655234386700614,68,0.8013198208814518
Indwelling Port (PortaCath),67,0.06271529129848734,61,0.7188310157907141
IABP line,65,0.06084319305077131,59,0.6952627857647891
Intraosseous Device,64,0.059907143926913285,59,0.6952627857647891
14 Gauge,61,0.057098996555339225,54,0.6363422106999764
Trauma line,60,0.0561629474314812,57,0.6716945557388639
Thoracentesis,57,0.05335480005990715,52,0.6127739806740514
Nuclear Medicine,52,0.048674554440617045,50,0.5892057506481263
Single Lumen,51,0.04773850531675902,47,0.5538534056092387
Drain Removed,48,0.04493035794518496,48,0.5656375206222013
Brain Death,46,0.043058259697468924,45,0.5302851755833138
Family notified of transfer,42,0.03931406320203684,40,0.47136460051850104
Cath Lab (Sent),41,0.03837801407817882,38,0.447796370492576
Paracentesis,40,0.037441964954320804,34,0.4006599104407259
Chest Pain,39,0.03650591583046278,33,0.38887579542776335
CRRT Filter Change,36,0.03369776845888872,26,0.3063869903370257
Epoprostenol (Inhaled),36,0.03369776845888872,34,0.4006599104407259
Wound Culture,35,0.0327617193350307,31,0.36530756540183834
Small Bore Nasal Enteral Tube Placement,33,0.03088962108731466,29,0.3417393353759133
Unplanned Line/Catheter Removal (Patient Initiated),32,0.029953571963456643,31,0.36530756540183834
Cath Lab (Received),32,0.029953571963456643,29,0.3417393353759133
Family met with Case Manager,32,0.029953571963456643,27,0.3181711053499882
Trigger Initiated,28,0.026209375468024564,26,0.3063869903370257
24 Gauge,25,0.023401228096450503,24,0.28281876031110065
Tunneled (Hickman) Line,23,0.021529129848734462,20,0.23568230025925052
ICP Bolt Inserted,21,0.01965703160101842,21,0.24746641527221305
Surgical Procedure at Bedside,19,0.017784933353302383,18,0.21211407023332546
Percutaneous Drain Insertion,18,0.01684888422944436,18,0.21211407023332546
Chest Opened,16,0.014976785981728321,12,0.14140938015555032
Fall,16,0.014976785981728321,16,0.18854584020740042
EVD #2,15,0.0140407368578703,13,0.15319349516851286
Esophogeal Balloon,15,0.0140407368578703,15,0.1767617251944379
Lumbar Drain,15,0.0140407368578703,14,0.16497761018147536
Colonoscopy,14,0.013104687734012282,11,0.1296252651425878
Cervical Spine,14,0.013104687734012282,10,0.11784115012962526
ECMO Inflow Line,13,0.012168638610154261,13,0.15319349516851286
ECMO Outflow Line,13,0.012168638610154261,13,0.15319349516851286
Unplanned Extubation (non-patient initiated),13,0.012168638610154261,13,0.15319349516851286
Temporary Pacemaker Wires Inserted,13,0.012168638610154261,12,0.14140938015555032
ERCP (Travel to),12,0.01123258948629624,9,0.10605703511666273
Impella Line,12,0.01123258948629624,12,0.14140938015555032
Transferred to Floor,12,0.01123258948629624,12,0.14140938015555032
Plasma Pheresis.,11,0.010296540362438222,6,0.07070469007777516
Sheath (Arterial),10,0.009360491238580201,9,0.10605703511666273
Respiratory Arrest,10,0.009360491238580201,10,0.11784115012962526
C-Spine Clearance,9,0.00842444211472218,9,0.10605703511666273
Pelvis,9,0.00842444211472218,9,0.10605703511666273
Tandem Heart Outflow Line,8,0.007488392990864161,8,0.09427292010370021
"Family meeting attempted, unable",8,0.007488392990864161,6,0.07070469007777516
Radiation Therapy,8,0.007488392990864161,5,0.05892057506481263
VAC Change,8,0.007488392990864161,6,0.07070469007777516
Tandem Heart Inflow Line,8,0.007488392990864161,8,0.09427292010370021
