Procedure,Count,Percentage,Unique_Patients,Patient_Percentage
CT scan,7899,17.36616466967132,3567,42.03393825123733
Blood Cultured,3773,8.295042321644498,1668,19.655903841621495
Family updated by RN,2954,6.49444871935803,1334,15.72000942729201
Extubation,2766,6.081125645817302,2437,28.717888286589677
Magnetic Resonance Imaging,2760,6.06793448389579,2439,28.741456516615603
Urine Culture,2202,4.841156425195119,1460,17.204807918925287
Transthoracic Echo,1974,4.339892272177641,1683,19.832665566815933
Family updated by MD,1920,4.221171814884028,1140,13.43389111477728
Ultrasound,1744,3.8342310651863247,1250,14.730143766203158
Intubation,1274,2.800923381334506,1029,12.12585434833844
Sputum Culture,1212,2.6646147081455425,841,9.910440725901484
Nasal Swab,1150,2.528306034956579,1083,12.762196559038417
OR Sent,1008,2.2161152028141147,743,8.755597454631157
Bronchoscopy,904,1.9874683961745632,557,6.563752062220127
EEG,740,1.6269099703198855,607,7.152957812868253
Family meeting held,684,1.503792459052435,535,6.304501531934951
Pan Culture,636,1.3982631636803342,469,5.526749941079425
Dialysis - CRRT,532,1.1696163570407827,178,2.0975724723073297
Hemodialysis,494,1.0860723315378695,175,2.062220127268442
ICP Catheter,483,1.0618885346817633,373,4.395474899835023
Transcranial Doppler,447,0.9827415631526877,224,2.6396417629036057
Angiography,430,0.9453666043750687,343,4.041951449446147
Line Placement at Bedside,392,0.8618225788721557,286,3.3702568937072823
Stool Culture,384,0.8442343629768055,296,3.488098043836908
EEG (Continuous),376,0.8266461470814555,321,3.782700919160971
Interventional Radiology,342,0.7518962295262175,292,3.440961583785058
NEOB notified,322,0.7079256897878422,278,3.2759839736035823
Trans Esophageal Echo,318,0.6991315818401671,283,3.334904548668395
Chest Tube Removed,313,0.6881389469055732,278,3.2759839736035823
Family met with Social Worker,279,0.6133890293503353,245,2.887108178175819
Portable CT scan,253,0.5562273276904474,189,2.2271977374499174
Nursing Water Swallow Screening,238,0.5232494228866659,230,2.710346452981381
CSF Culture,230,0.5056612069913158,169,1.991515437190667
BAL Fluid Culture,223,0.49027151808288444,195,2.297902427527693
EVD #1,204,0.44849950533142796,189,2.2271977374499174
PEG Insertion,191,0.419918654501484,182,2.1447089323591797
Speech and Swallow Evaluation,185,0.4067274925799714,166,1.9561630921517792
CCO PAC,180,0.3957348576453776,175,2.062220127268442
Percutaneous Tracheostomy,162,0.35616137188083985,155,1.8265378270091917
Cardioversion/Defibrillation,158,0.34736726393316475,62,0.7306151308036767
Intraventricular Drain Inserted,155,0.3407716829724085,137,1.6144237567758661
Lumbar Puncture,153,0.33637462899857096,134,1.5790714117369784
Temporary Pacemaker Wires Discontinued,135,0.29680114323403317,135,1.590855526749941
Peritoneal Dialysis,123,0.27041881939100804,16,0.18854584020740042
Travel to Radiology,98,0.21545564471803894,84,0.9898656610888522
Fluoroscopy,96,0.21105859074420139,89,1.0487862361536648
Endoscopy,94,0.20666153677036386,84,0.9898656610888522
Chest Tube Placed,92,0.20226448279652634,75,0.8838086259721896
MAC,91,0.20006595580960757,81,0.9545133160499647
Unplanned Extubation (patient-initiated),79,0.17368363196658237,74,0.872024510959227
Cardiac Arrest,77,0.16928657799274485,69,0.8131039358944143
Cardiac Cath,71,0.15609541607123228,70,0.8248880509073769
Indwelling Port,71,0.15609541607123228,52,0.6127739806740514
